,0
515,Fish and Game Wardens
516,Parking Enforcement Workers
517,Police Patrol Officers
518,Sheriffs and Deputy Sheriffs
519,Transit and Railroad Police
520,Animal Control Workers
521,Private Detectives and Investigators
522,Gaming Surveillance Officers and Gaming Investigators
523,Security Guards
524,Crossing Guards
525,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
526,Transportation Security Screeners
527,Retail Loss Prevention Specialists
528,Chefs and Head Cooks
529,First-Line Supervisors of Food Preparation and Serving Workers
530,"Cooks, Fast Food"
531,"Cooks, Institution and Cafeteria"
532,"Cooks, Private Household"
533,"Cooks, Restaurant"
534,"Cooks, Short Order"
535,Food Preparation Workers
536,Bartenders
537,"Combined Food Preparation and Serving Workers, Including Fast Food"
538,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
539,Baristas
540,Waiters and Waitresses
541,"Food Servers, Nonrestaurant"
542,Dining Room and Cafeteria Attendants and Bartender Helpers
543,Dishwashers
544,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
545,First-Line Supervisors of Housekeeping and Janitorial Workers
546,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
547,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
548,Maids and Housekeeping Cleaners
549,Pest Control Workers
550,Landscaping and Groundskeeping Workers
551,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
552,Tree Trimmers and Pruners
553,Gaming Supervisors
554,Slot Supervisors
555,First-Line Supervisors of Personal Service Workers
556,Spa Managers
557,Animal Trainers
558,Nonfarm Animal Caretakers
559,Gaming Dealers
560,Gaming and Sports Book Writers and Runners
561,Motion Picture Projectionists
562,"Ushers, Lobby Attendants, and Ticket Takers"
563,Amusement and Recreation Attendants
564,Costume Attendants
565,"Locker Room, Coatroom, and Dressing Room Attendants"
566,Embalmers
567,Funeral Attendants
568,"Morticians, Undertakers, and Funeral Directors"
569,Barbers
570,"Hairdressers, Hairstylists, and Cosmetologists"
571,"Makeup Artists, Theatrical and Performance"
572,Manicurists and Pedicurists
573,Shampooers
574,Skincare Specialists
575,Baggage Porters and Bellhops
576,Concierges
577,Tour Guides and Escorts
578,Travel Guides
579,Childcare Workers
580,Nannies
581,Personal Care Aides
582,Fitness Trainers and Aerobics Instructors
583,Recreation Workers
584,Residential Advisors
585,First-Line Supervisors of Retail Sales Workers
586,First-Line Supervisors of Non-Retail Sales Workers
587,Cashiers
588,Gaming Change Persons and Booth Cashiers
589,Counter and Rental Clerks
590,Parts Salespersons
591,Retail Salespersons
592,Advertising Sales Agents
593,Insurance Sales Agents
594,"Sales Agents, Securities and Commodities"
595,"Sales Agents, Financial Services"
596,Securities and Commodities Traders
597,Travel Agents
598,Energy Brokers
599,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
600,Solar Sales Representatives and Assessors
601,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
602,Demonstrators and Product Promoters
603,Models
604,Real Estate Brokers
605,Real Estate Sales Agents
606,Sales Engineers
607,Telemarketers
608,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
609,First-Line Supervisors of Office and Administrative Support Workers
610,"Switchboard Operators, Including Answering Service"
611,Telephone Operators
612,Bill and Account Collectors
613,Statement Clerks
614,"Billing, Cost, and Rate Clerks"
615,"Bookkeeping, Accounting, and Auditing Clerks"
616,Gaming Cage Workers
617,Payroll and Timekeeping Clerks
618,Procurement Clerks
619,Tellers
620,Brokerage Clerks
621,Correspondence Clerks
622,Court Clerks
623,Municipal Clerks
624,License Clerks
625,Credit Authorizers
626,Credit Checkers
627,Customer Service Representatives
628,Patient Representatives
629,"Eligibility Interviewers, Government Programs"
630,File Clerks
631,"Hotel, Motel, and Resort Desk Clerks"
632,"Interviewers, Except Eligibility and Loan"
633,"Library Assistants, Clerical"
634,Loan Interviewers and Clerks
635,New Accounts Clerks
636,Order Clerks
637,"Human Resources Assistants, Except Payroll and Timekeeping"
638,Receptionists and Information Clerks
639,Reservation and Transportation Ticket Agents and Travel Clerks
640,Cargo and Freight Agents
641,Freight Forwarders
642,Couriers and Messengers
643,"Police, Fire, and Ambulance Dispatchers"
644,"Dispatchers, Except Police, Fire, and Ambulance"
645,"Meter Readers, Utilities"
646,Postal Service Clerks
647,Postal Service Mail Carriers
648,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
649,"Production, Planning, and Expediting Clerks"
650,"Shipping, Receiving, and Traffic Clerks"
651,"Stock Clerks, Sales Floor"
652,Marking Clerks
653,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
654,"Order Fillers, Wholesale and Retail Sales"
655,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
656,Executive Secretaries and Executive Administrative Assistants
657,Legal Secretaries
658,Medical Secretaries
659,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
660,Computer Operators
661,Data Entry Keyers
662,Word Processors and Typists
663,Desktop Publishers
664,Insurance Claims Clerks
665,Insurance Policy Processing Clerks
666,"Mail Clerks and Mail Machine Operators, Except Postal Service"
667,"Office Clerks, General"
668,"Office Machine Operators, Except Computer"
669,Proofreaders and Copy Markers
670,Statistical Assistants
671,Bioinformatics Technicians
672,First-Line Supervisors of Logging Workers
673,First-Line Supervisors of Aquacultural Workers
674,First-Line Supervisors of Agricultural Crop and Horticultural Workers
675,First-Line Supervisors of Animal Husbandry and Animal Care Workers
676,Agricultural Inspectors
677,Animal Breeders
678,"Graders and Sorters, Agricultural Products"
679,Agricultural Equipment Operators
680,Nursery Workers
681,"Farmworkers and Laborers, Crop"
682,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
683,Fishers and Related Fishing Workers
684,Hunters and Trappers
685,Forest and Conservation Workers
686,Fallers
687,Logging Equipment Operators
688,Log Graders and Scalers
689,First-Line Supervisors of Construction Trades and Extraction Workers
690,Solar Energy Installation Managers
691,Boilermakers
692,Brickmasons and Blockmasons
693,Stonemasons
694,Construction Carpenters
695,Rough Carpenters
696,Carpet Installers
697,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
698,Floor Sanders and Finishers
699,Tile and Marble Setters
700,Cement Masons and Concrete Finishers
701,Terrazzo Workers and Finishers
702,Construction Laborers
703,"Paving, Surfacing, and Tamping Equipment Operators"
704,Pile-Driver Operators
705,Operating Engineers and Other Construction Equipment Operators
706,Drywall and Ceiling Tile Installers
707,Tapers
708,Electricians
709,Glaziers
710,"Insulation Workers, Floor, Ceiling, and Wall"
711,"Insulation Workers, Mechanical"
712,"Painters, Construction and Maintenance"
713,Paperhangers
714,Pipelayers
715,Pipe Fitters and Steamfitters
716,Plumbers
717,Plasterers and Stucco Masons
718,Reinforcing Iron and Rebar Workers
719,Roofers
720,Sheet Metal Workers
721,Structural Iron and Steel Workers
722,Solar Photovoltaic Installers
723,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
724,Helpers--Carpenters
725,Helpers--Electricians
726,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
727,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
728,Helpers--Roofers
729,Construction and Building Inspectors
730,Elevator Installers and Repairers
731,Fence Erectors
732,Hazardous Materials Removal Workers
733,Highway Maintenance Workers
734,Rail-Track Laying and Maintenance Equipment Operators
735,Septic Tank Servicers and Sewer Pipe Cleaners
736,Segmental Pavers
737,Solar Thermal Installers and Technicians
738,Weatherization Installers and Technicians
739,"Derrick Operators, Oil and Gas"
740,"Rotary Drill Operators, Oil and Gas"
741,"Service Unit Operators, Oil, Gas, and Mining"
742,"Earth Drillers, Except Oil and Gas"
743,"Explosives Workers, Ordnance Handling Experts, and Blasters"
744,Continuous Mining Machine Operators
745,Mine Cutting and Channeling Machine Operators
746,"Rock Splitters, Quarry"
747,"Roof Bolters, Mining"
748,"Roustabouts, Oil and Gas"
749,Helpers--Extraction Workers
750,"First-Line Supervisors of Mechanics, Installers, and Repairers"
751,"Computer, Automated Teller, and Office Machine Repairers"
752,"Radio, Cellular, and Tower Equipment Installers and Repairers"
753,Radio Mechanics
754,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
755,Avionics Technicians
756,"Electric Motor, Power Tool, and Related Repairers"
757,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
758,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
759,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
760,"Electronic Equipment Installers and Repairers, Motor Vehicles"
761,Electronic Home Entertainment Equipment Installers and Repairers
762,Security and Fire Alarm Systems Installers
763,Aircraft Mechanics and Service Technicians
764,Automotive Body and Related Repairers
765,Automotive Glass Installers and Repairers
766,Automotive Master Mechanics
767,Automotive Specialty Technicians
768,Bus and Truck Mechanics and Diesel Engine Specialists
769,Farm Equipment Mechanics and Service Technicians
770,"Mobile Heavy Equipment Mechanics, Except Engines"
771,Rail Car Repairers
772,Motorboat Mechanics and Service Technicians
773,Motorcycle Mechanics
774,Outdoor Power Equipment and Other Small Engine Mechanics
775,Bicycle Repairers
776,Recreational Vehicle Service Technicians
777,Tire Repairers and Changers
778,Mechanical Door Repairers
779,"Control and Valve Installers and Repairers, Except Mechanical Door"
780,Heating and Air Conditioning Mechanics and Installers
781,Refrigeration Mechanics and Installers
782,Home Appliance Repairers
783,Industrial Machinery Mechanics
784,"Maintenance Workers, Machinery"
785,Millwrights
786,"Refractory Materials Repairers, Except Brickmasons"
787,Electrical Power-Line Installers and Repairers
788,Telecommunications Line Installers and Repairers
789,Camera and Photographic Equipment Repairers
790,Medical Equipment Repairers
791,Musical Instrument Repairers and Tuners
792,Watch Repairers
793,"Maintenance and Repair Workers, General"
794,Wind Turbine Service Technicians
795,"Coin, Vending, and Amusement Machine Servicers and Repairers"
796,Commercial Divers
797,"Fabric Menders, Except Garment"
798,Locksmiths and Safe Repairers
799,Manufactured Building and Mobile Home Installers
800,Riggers
801,Signal and Track Switch Repairers
802,"Helpers--Installation, Maintenance, and Repair Workers"
803,Geothermal Technicians
804,First-Line Supervisors of Production and Operating Workers
805,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
806,"Coil Winders, Tapers, and Finishers"
807,Electrical and Electronic Equipment Assemblers
